codigo_troquel;cilindro;repeat_in;repeat_mm;ancho_mm;largo_mm;ancho_in;largo_in;gap_ancho;gap_avance;ancho_banda;precorte_integrado;cavidades_ancho;cavidades_avance;forma;esquinas;precorte_entre_cavidades;familia_troquel
LR-60;66;8.25;209.6;31.75;101.6;1.25;4.0;0.125;0.125;10.0;NO;7;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-63;85;10.625;269.9;63.5;50.8;2.5;2.0;0.125;0.125;8.63;NO;3;5;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-61;79;9.875;250.8;30.48;20.32;1.2;0.8;0.0;0.0;8.63;NO;6;10;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-66;75;9.375;238.1;44.45;44.45;1.75;1.75;0.125;0.125;8.63;NO;4;5;Cuadrado;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-68;84;10.5;266.7;88.9;16.0;3.5;0.63;0.125;0.125;8.63;NO;2;14;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-69;74;9.25;235.0;34.93;55.56;1.375;2.188;0.125;0.125;8.63;NO;6;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-70;114;14.25;362.0;38.1;177.8;1.5;7.0;0.125;0.125;10.0;NO;6;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-71;114;14.25;362.0;25.0;178.0;1.0;7.008;0.125;0.125;10.0;NO;8;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-72;114;14.25;362.0;33.34;177.8;1.313;7.0;0.125;0.125;9.0;NO;6;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-73;98;12.25;311.2;38.1;41.28;1.5;1.625;0.125;0.125;10.0;NO;6;7;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-74;88;11.0;279.4;33.53;31.75;1.32;1.25;0.125;0.125;10.0;NO;6;8;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-75;82;10.25;260.4;28.58;127.0;1.125;5.0;0.125;0.125;10.0;NO;6;8;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-76;98;12.25;311.2;12.7;152.4;0.5;6.0;0.125;0.125;3.94;NO;4;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-78;82;10.25;260.4;24.99;127.0;0.984;5.0;0.125;0.125;10.0;NO;8;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-79;82;10.25;260.4;25.4;127.0;1.0;5.0;0.125;0.125;10.0;NO;6;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-80;82;10.25;260.4;38.1;127.0;1.5;5.0;0.125;0.125;8.63;NO;6;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-81;79;9.875;250.8;46.99;32.66;1.85;1.286;0.125;0.125;8.63;NO;4;7;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-82;95;11.875;301.6;31.75;142.88;1.25;5.625;0.125;0.322;7.0;SI;7;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-83;84;10.5;266.7;28.45;19.05;1.12;0.75;0.125;0.125;9.0;NO;7;12;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-84;75;9.375;238.1;38.1;12.7;1.5;0.5;0.125;0.125;10.0;NO;3;15;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-86;88;11.0;279.4;41.28;31.75;2.0;1.0;0.125;0.125;8.63;NO;4;8;Rectangular;Semi Redonda;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-88;122;15.25;387.4;101.6;381.0;4.0;15.0;0.125;0.25;8.625;NO;2;1;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-91;88;11.0;279.4;134.94;269.88;5.313;10.625;0.125;0.375;6.0;NO;1;1;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-92;78;9.75;247.7;34.93;120.65;1.375;4.75;0.125;0.125;10.0;SI;6;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-93;78;9.75;247.7;34.93;120.65;1.375;4.75;0.125;0.125;10.0;NO;6;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-94;116;14.5;368.3;38.1;88.9;1.5;3.5;0.125;0.125;9.0;NO;5;4;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-95;111;13.875;352.4;25.4;114.3;1.0;4.5;0.125;0.125;10.0;NO;8;3;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-96;130;16.25;412.8;101.6;203.2;4.0;8.0;0.125;0.125;10.0;NO;2;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-97;122;15.25;387.4;44.45;190.5;1.75;7.5;0.125;0.125;8.625;NO;4;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-98;84;10.5;266.7;25.4;16.0;1.0;0.63;0.125;0.125;10.0;NO;7;14;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-99;130;16.25;412.8;31.75;203.2;1.25;8.0;0.125;0.125;10.0;NO;7;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-100;87;10.875;276.2;50.8;65.89;2.0;2.594;0.125;0.125;10.0;NO;4;4;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-101;84;10.5;266.7;63.5;63.5;2.5;2.5;0.125;0.125;9.84;NO;3;6;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-104;85;10.625;269.9;57.0;41.8;2.244;1.646;0.125;0.125;8.625;SI;3;6;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-105;82;10.25;260.4;76.2;127.0;3.0;5.0;0.125;0.125;10.0;NO;3;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-106;75;9.375;238.1;50.8;76.2;2.0;3.0;0.125;0.125;10.0;NO;4;3;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-107;98;12.25;311.2;28.58;152.4;1.125;6.0;0.125;0.125;9.0;NO;3;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-108;85;10.625;269.9;34.01;64.26;1.339;2.53;0.125;0.125;10.0;SI;6;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-109;81;10.125;257.2;46.99;39.62;1.85;1.56;0.125;0.125;8.63;SI;4;6;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-110;76;9.5;241.3;31.75;57.15;1.25;2.25;0.125;0.125;10.0;NO;7;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-111;69;8.625;219.1;69.85;50.8;2.75;2.0;0.125;0.125;10.35;NO;3;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-112;88;11.0;279.4;31.75;33.53;1.25;1.32;0.125;0.125;10.0;SI;6;8;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-113;65;8.125;206.4;77.47;96.52;3.05;3.8;0.125;0.26;10.25;NO;3;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-114;78;9.75;247.7;76.2;38.1;3.0;1.5;0.125;0.125;6.75;NO;2;6;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-115;98;12.25;311.2;32.0;151.89;1.26;5.98;0.125;0.125;5.0;NO;3;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-116;82;10.25;260.4;31.75;127.0;1.25;5.0;0.125;0.125;10.0;NO;7;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-119;97;12.125;308.0;38.1;148.84;1.5;5.86;0.125;0.19;10.0;NO;6;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-120;122;15.25;387.4;101.6;381.0;4.0;15.0;0.25;0.25;8.625;NO;2;1;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-121;85;10.625;269.9;50.8;50.8;2.0;2.0;0.125;0.125;8.625;NO;4;5;Cuadrado;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-122;79;9.875;250.8;19.05;121.16;0.75;4.77;0.125;0.173;5.0;NO;5;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-123;114;14.25;362.0;38.1;177.8;1.5;7.0;0.125;0.125;10.0;NO;6;2;;;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-124;78;9.75;247.7;34.93;120.65;1.375;4.75;0.125;0.125;10.0;SI;6;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-125;78;9.75;247.7;38.1;38.1;1.5;1.5;0.125;0.125;8.625;NO;4;6;Cuadrado;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-126;88;11.0;279.4;25.4;88.9;1.0;3.5;0.125;0.165;10.0;NO;8;3;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-127;66;8.25;209.6;25.4;101.6;1.0;4.0;0.125;0.125;10.0;NO;8;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-129;72;9.0;228.6;50.8;25.4;2.0;1.0;0.125;0.125;4.92;NO;2;10;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-130;75;9.38;238.1;28.58;12.7;1.125;0.5;0.125;0.125;4.25;NO;3;15;Cuadrado;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-131;74;9.25;235.0;19.81;19.81;0.78;0.78;0.125;0.145;9.84;NO;10;10;Cuadrado;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
